mr,ref,alignment
"inform(name[Lara Croft and the Temple of Osiris], genres[action-adventure, puzzle, shooter], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Lara Croft and the Temple of Osiris is an action-adventure, puzzle shooter game. It's available for PlayStation, Xbox, and PC, but was not released for Linux or Mac.",(0: da) (0: name) (42: genres) (103: platforms) (153: haslinuxrelease) (162: hasmacrelease)
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], has_multiplayer[no], platforms[PlayStation, Nintendo Switch, PC], has_linux_release[yes], has_mac_release[yes])","Undertale from 2015 is an excellent indie adventure role-playing game, but it doesn't have multiplayer. It can be played on PlayStation, Nintendo Switch, PC, Linux, or Mac.",(0: da) (0: name) (15: releaseyear) (26: rating) (36: genres) (92: hasmultiplayer) (127: platforms) (159: haslinuxrelease) (169: hasmacrelease)
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], has_multiplayer[no], platforms[PlayStation, Nintendo Switch, PC], has_linux_release[yes], has_mac_release[yes])","If you love adventure and role-playing games, try Undertale, although keep in mind that it's single-player only. It's an excellent indie game from 2015 released for PlayStation, Nintendo Switch, and PC. You can even play it on Linux or Mac.",(0: da) (7: rating) (12: genres) (51: name) (95: hasmultiplayer) (152: releaseyear) (170: platforms) (229: haslinuxrelease) (238: hasmacrelease)
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], has_multiplayer[no], platforms[PlayStation, Nintendo Switch, PC], has_linux_release[yes], has_mac_release[yes])","If you want an excellent adventure game, try Undertale. It came out in 2015 on PlayStation, Nintendo Switch, and PC. It is an indie role-playing game with no multiplayer option. Undertale is also available on Linux and Mac.",(0: da) (15: rating) (25: genres) (46: name) (73: releaseyear) (81: platforms) (158: hasmultiplayer) (209: haslinuxrelease) (219: hasmacrelease)
"request(has_mac_release[yes], specifier[addictive])",Do you know of any really addictive Mac games coming out soon?,(0: da) (26: specifier) (36: hasmacrelease)
"request(has_mac_release[yes], specifier[addictive])",Do you know of any addictive games that have a Mac release?,(0: da) (19: specifier) (47: hasmacrelease)
"request(has_mac_release[yes], specifier[addictive])",Do you know a really addictive game that has a Mac release?,(0: da) (21: specifier) (47: hasmacrelease)
"recommend(name[Assetto Corsa], genres[driving/racing, simulation, sport], player_perspective[first person])","While we're on the subject of first person driving/racing sport simulators, have you ever heard of Assetto Corsa?",(0: da) (31: playerperspective) (44: genres) (101: name)
"recommend(name[Assetto Corsa], genres[driving/racing, simulation, sport], player_perspective[first person])",A driving/racing sport sim that you can play in first person is Assetto Corsa. You played it?,(0: da) (2: genres) (48: playerperspective) (64: name)
"recommend(name[Assetto Corsa], genres[driving/racing, simulation, sport], player_perspective[first person])",A first person sport racing sim that I enjoyed was Assetto Corsa. Have you played it?,(0: da) (2: playerperspective) (15: genres) (51: name)
"request_explanation(developer[Valve Corporation], rating[excellent], has_multiplayer[no])",Would you tell me why you vastly enjoy Valve Corporation games with no multiplayer?,(0: da) (39: developer) (71: hasmultiplayer)
"request_explanation(developer[Valve Corporation], rating[excellent], has_multiplayer[no])",What is it about single-player games made by Valve Corporation that you find so attractive?,(0: da) (17: hasmultiplayer) (45: developer) (80: rating)
"request_explanation(developer[Valve Corporation], rating[excellent], has_multiplayer[no])",What makes you adore Valve Corporation's single-player games like do?,(0: da) (15: rating) (21: developer) (41: hasmultiplayer)
"inform(name[MotorStorm: Apocalypse], release_year[2011], genres[vehicular combat], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])","If you have a PlayStation and enjoy vehicular combat games that you can play mutiplayer with friends, you should try MotorStorm: Apocalypse. The game came out in 2011 and is played with third person perspective.",(0: da) (14: platforms) (36: genres) (93: hasmultiplayer) (118: name) (165: releaseyear) (189: playerperspective)
"inform(name[MotorStorm: Apocalypse], release_year[2011], genres[vehicular combat], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])","MotorStorm: Apocalypse was released in the year 2011 on the PlayStation only. It's a vehicular combat game through the third person perspective, and it has multiplayer mode.",(0: da) (0: name) (49: releaseyear) (61: platforms) (88: genres) (122: playerperspective) (158: hasmultiplayer)
"inform(name[MotorStorm: Apocalypse], release_year[2011], genres[vehicular combat], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])",MotorStorm: Apocalypse is a vehicular combat game released on PlayStation. The game was released in 2011 and features third person view and multiplayer mode.,(0: da) (0: name) (29: genres) (63: platforms) (102: releaseyear) (120: playerperspective) (141: hasmultiplayer)
"inform(name[The Wolf Among Us], developer[Telltale Games], genres[adventure, point-and-click], player_perspective[third person], has_multiplayer[no])","If you are looking for a point-and-click adventure, Telltale Games developed a third person perspective video game titled The Wolf Among Us. It is a single-player only game.",(0: da) (25: genres) (53: developer) (80: playerperspective) (123: name) (151: hasmultiplayer)
"inform(name[The Wolf Among Us], developer[Telltale Games], genres[adventure, point-and-click], player_perspective[third person], has_multiplayer[no])",The Wolf Among Us by Telltale Games is a third person point-and-click adventure game. It is made for single-player gaming only.,(0: da) (0: name) (21: developer) (41: playerperspective) (54: genres) (102: hasmultiplayer)
"inform(name[The Wolf Among Us], developer[Telltale Games], genres[adventure, point-and-click], player_perspective[third person], has_multiplayer[no])","The Wolf Among Us is a single-player, third person point-and-click adventure game developed by Telltale Games.",(0: da) (0: name) (23: hasmultiplayer) (39: playerperspective) (52: genres) (96: developer)
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], genres[pinball, puzzle])",Metroid Prime Pinball is a pinball puzzle game rated E (for Everyone).,(0: da) (0: name) (14: genres) (45: esrb)
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], genres[pinball, puzzle])",Metroid Prime Pinball is a pinball puzzle game that is appropriate for everyone.,(0: da) (0: name) (14: genres) (71: esrb)
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], genres[pinball, puzzle])",Metroid Prime Pinball is a pinball puzzle game rated E.,(0: da) (0: name) (14: genres) (45: esrb)
"inform(name[Metro 2033], developer[4A Games], genres[action, role-playing, shooter], platforms[Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Metro 2033 is an action shooter game with a role-playing angle to it, developed by 4A Games. It can be played on Xbox or PC and is available on Steam, though it doesn't have a Linux or Mac release.",(0: da) (0: name) (17: genres) (84: developer) (113: platforms) (144: availableonsteam) (177: haslinuxrelease) (186: hasmacrelease)
"inform(name[Metro 2033], developer[4A Games], genres[action, role-playing, shooter], platforms[Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Metro 2033 by 4A Games is an action role-playing shooter available on Steam. It is available on Xbox and PC, but not supported by Mac or Linux.",(0: da) (0: name) (14: developer) (29: genres) (70: availableonsteam) (96: platforms) (130: hasmacrelease) (137: haslinuxrelease)
"inform(name[Metro 2033], developer[4A Games], genres[action, role-playing, shooter], platforms[Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])",Metro 2033 is an action role-playing shooter by 4A games for Xbox and PC only. This game is available on Steam but not for Linux or Mac.,(0: da) (0: name) (17: genres) (48: developer) (61: platforms) (105: availableonsteam) (123: haslinuxrelease) (132: hasmacrelease)
"request_explanation(release_year[2018], rating[excellent])",What do you find so amazing about games from 2018?,(0: da) (20: rating) (45: releaseyear)
"request_explanation(release_year[2018], rating[excellent])",It seems like 2018 is one of your favorite years for video games of all time. Why is that?,(0: da) (14: releaseyear) (34: rating)
"request_explanation(release_year[2018], rating[excellent])",What is it about the games that came out in 2018 that makes you feel they're excellent?,(0: da) (44: releaseyear) (77: rating)
"give_opinion(name[Silent Hill 2], rating[excellent], platforms[PC])",Silent Hill 2 is a truly excellent survival horror PC game.,(0: da) (0: name) (25: rating) (51: platforms)
"give_opinion(name[Silent Hill 2], rating[excellent], platforms[PC])","Silent Hill 2 was a total blast to play. I think I just really, really love PC games like it.",(0: da) (0: name) (71: rating) (76: platforms)
"give_opinion(name[Silent Hill 2], rating[excellent], platforms[PC])",PC is the best platform because we get games like Silent Hill 2.,(0: da) (1: platforms) (10: rating) (50: name)
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent])",I know that Uncharted 4: A Thief's End is one of your favorite games. Do you enjoy all of Naughty Dog's games?,(0: da) (12: name) (55: rating) (93: developer)
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent])","I wanted to ask whether it's common that you deem a game from Naughty Dog simply amazing, or Uncharted 4: A Thief's End was just a special case.",(0: da) (63: developer) (81: rating) (95: name)
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent])","I know you really, really loved Uncharted 4: A Thief's End. I'm wondering, do you feel like Naughty Dog just knows how to get every detail of their games right?",(0: da) (27: rating) (33: name) (98: developer)
"inform(name[Outlast II], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo Switch, PC], has_linux_release[no], has_mac_release[yes])","Outlast II is an indie, first person adventure game that you can play on PlayStation, Xbox, Nintendo Switch and PC. Though it's not available on Linux, it does have a Mac release as well.",(0: da) (0: name) (17: genres) (25: playerperspective) (74: platforms) (146: haslinuxrelease) (168: hasmacrelease)
"inform(name[Outlast II], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo Switch, PC], has_linux_release[no], has_mac_release[yes])","Outlast II is a first person indie adventure game that was released for the PlayStation, Xbox, Nintendo Switch, and PC. It does not have a Linux release, but it is available for Mac users.",(0: da) (0: name) (16: playerperspective) (29: genres) (76: platforms) (139: haslinuxrelease) (178: hasmacrelease)
"inform(name[Outlast II], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo Switch, PC], has_linux_release[no], has_mac_release[yes])","If you're looking for a first person adventure game, check out Outlast II. It's an indie game released on the PlayStation, Xbox, Nintendo Switch, PC, and Mac. It doesn't have a Linux release, however.",(0: da) (25: playerperspective) (38: genres) (65: name) (114: platforms) (156: hasmacrelease) (180: haslinuxrelease)
"inform(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])",Tomb Raider: The Angel of Darkness is a third person action-adventure shooter. The game is rated T (for Teen) and has no multiplayer.,(0: da) (0: name) (41: playerperspective) (54: genres) (93: esrb) (124: hasmultiplayer)
"inform(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])","Tomb Raider: The Angel of Darkness is a action-adventure, shooter game. It sports the third person perspective and does not support multiplayer. It is rated T (for Teen).",(0: da) (0: name) (41: genres) (89: playerperspective) (133: hasmultiplayer) (155: esrb)
"inform(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])","Tomb Raider: The Angel of Darkness is a single-player, third person shooter with action-adventure themes that is rated T (for Teen).",(0: da) (0: name) (41: hasmultiplayer) (57: playerperspective) (70: genres) (115: esrb)
"request(platforms[PlayStation], specifier[stunning])",What's a game you've played for the PlayStation that you thought was stunning?,(0: da) (38: platforms) (71: specifier)
"request(platforms[PlayStation], specifier[stunning])",Do you know of a PlayStation game that has really stunning graphics?,(0: da) (17: platforms) (50: specifier)
"request(platforms[PlayStation], specifier[stunning])",What stunning games are available on PlayStation?,(0: da) (5: specifier) (37: platforms)
"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","Oh, Superhot, the single-player first person game?",(0: da) (5: name) (20: hasmultiplayer) (34: playerperspective)
"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","Is the game you are talking about Superhot, the single-player game played from the first person perspective?",(0: da) (34: name) (49: hasmultiplayer) (84: playerperspective)
"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","By Superhot, do you mean the single-player game with a first person perspective?",(0: da) (3: name) (30: hasmultiplayer) (56: playerperspective)
"confirm(name[Need for Speed: The Run], release_year[2011])",Are you speaking of the Need for Speed: The Run that came out in 2011?,(0: da) (24: name) (66: releaseyear)
"confirm(name[Need for Speed: The Run], release_year[2011])","Are you talking about the game from 2011, Need for Speed: The Run?",(0: da) (36: releaseyear) (43: name)
"confirm(name[Need for Speed: The Run], release_year[2011])","That's the Need for Speed: The Run that came out in 2011, right?",(0: da) (12: name) (54: releaseyear)
"inform(name[Superhot], genres[indie, shooter, tactical], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Superhot is an indie first person tactical shooter. It runs on PlayStation, Xbox, PC, Mac and Linux. It is also available on Steam.",(0: da) (0: name) (15: genres) (21: playerperspective) (64: platforms) (86: hasmacrelease) (94: haslinuxrelease) (125: availableonsteam)
"inform(name[Superhot], genres[indie, shooter, tactical], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Superhot is an indie first person shooter with tactical elements that is available on PlayStation, Xbox and PC, and runs even on Linux and Mac. You can get it on Steam.",(0: da) (0: name) (15: genres) (21: playerperspective) (86: platforms) (129: haslinuxrelease) (139: hasmacrelease) (162: availableonsteam)
"inform(name[Superhot], genres[indie, shooter, tactical], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Superhot is an indie first person tactical shooter game that was released on PlayStation, Xbox, and PC. The game is also available on Steam, and for the Mac and Linux operating systems.",(0: da) (0: name) (15: genres) (21: playerperspective) (77: platforms) (134: availableonsteam) (153: hasmacrelease) (161: haslinuxrelease)
"inform(name[The Witcher 3: Wild Hunt], esrb[M (for Mature)], rating[excellent], genres[action-adventure, role-playing], player_perspective[third person], has_multiplayer[no])","The Witcher 3: Wild Hunt is an excellent, action-adventure, role-playing game played in third person perspective. It is rated M (for Mature). It can't be played multiplayer.",(0: da) (0: name) (32: rating) (44: genres) (91: playerperspective) (124: esrb) (165: hasmultiplayer)
"inform(name[The Witcher 3: Wild Hunt], esrb[M (for Mature)], rating[excellent], genres[action-adventure, role-playing], player_perspective[third person], has_multiplayer[no])","The Witcher 3: Wild Hunt is a third person, action-adventure, role-playing game that does not support multiplayer. It has an M (for Mature) rating and received excellent reviews.",(0: da) (0: name) (31: playerperspective) (46: genres) (103: hasmultiplayer) (137: esrb) (166: rating)
"inform(name[The Witcher 3: Wild Hunt], esrb[M (for Mature)], rating[excellent], genres[action-adventure, role-playing], player_perspective[third person], has_multiplayer[no])","The Witcher 3: Wild Hunt is an excellent third person action-adventure role-playing game with no multiplayer, and it's rated M (for Mature).",(0: da) (0: name) (32: rating) (42: playerperspective) (55: genres) (98: hasmultiplayer) (121: esrb)
"verify_attribute(name[NHL 15], rating[average], genres[simulation, sport], player_perspective[bird view])",I know you mentioned that NHL 15 was just so-so. Do you feel that a bird view perspective in sports simulators just isn't all that immersive?,(0: da) (26: name) (42: rating) (68: playerperspective) (94: genres)
"verify_attribute(name[NHL 15], rating[average], genres[simulation, sport], player_perspective[bird view])","You said you were indifferent towards NHL 15. Typically, do you feel similar to other play bird's-eye view sport simulations?",(0: da) (38: name) (90: playerperspective) (108: genres)
"verify_attribute(name[NHL 15], rating[average], genres[simulation, sport], player_perspective[bird view])",Earlier you mentioned that NHL 15 was merely average. Is it common that you're not impressed by sports simulation games with a bird view perspective?,(0: da) (27: name) (45: rating) (98: genres) (128: playerperspective)
"verify_attribute(name[Football Manager 2015], release_year[2014], rating[good], genres[simulation, sport, strategy])",Earlier you said you enjoyed Football Manager 2015. Are you generally a fan of simulation games from 2014 involving sports and strategy?,(0: da) (21: rating) (29: name) (79: genres) (101: releaseyear)
"verify_attribute(name[Football Manager 2015], release_year[2014], rating[good], genres[simulation, sport, strategy])","You quite liked Football Manager 2015, you mentioned. Was 2014 a good year for sports strategy simulation games, you think?",(0: da) (10: rating) (16: name) (60: releaseyear) (81: genres)
"verify_attribute(name[Football Manager 2015], release_year[2014], rating[good], genres[simulation, sport, strategy])",I was surprised when you told me you liked Football Manager 2015. Do you like other sports sim strategy title from 2014?,(0: da) (37: rating) (43: name) (84: genres) (115: releaseyear)
"give_opinion(name[Silent Hill 2], esrb[M (for Mature)], rating[excellent])","All of my favorite games are rated M, like Silent Hill 2. I don't even bother with other games anymore.",(0: da) (10: rating) (29: esrb) (44: name)
"give_opinion(name[Silent Hill 2], esrb[M (for Mature)], rating[excellent])","Silent Hill 2 was an amazing, game. I just love gritty M rated games like it.",(0: da) (0: name) (21: rating) (57: esrb)
"give_opinion(name[Silent Hill 2], esrb[M (for Mature)], rating[excellent])","Silent Hill 2 is a masterpiece of a game, it takes full advantage of its M rating to evoke absolute horror.",(0: da) (0: name) (74: esrb)
"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game])",Small World 2 is an indie trivia/board game with poor ratings.,(0: da) (0: name) (20: genres) (49: rating)
"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game])","If you like indie trivia/board games, then you will probably want to skip the poor Small World 2.",(0: da) (12: genres) (78: rating) (84: name)
"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game])","Small World 2 is just one out of many examples of an indie game falling on its face. The indie trivia/board game was critically panned on release, mustering a poor rating.",(0: da) (0: name) (22: rating) (53: genres)
"verify_attribute(name[Tony Hawk's Pro Skater 3], rating[average], genres[sport], player_perspective[third person])",You mentioned that you found Tony Hawk's Pro Skater 3 to be an okay game. Do you in general just find third person perspective sports games to be meh?,(0: da) (29: name) (64: rating) (104: playerperspective) (129: genres)
"verify_attribute(name[Tony Hawk's Pro Skater 3], rating[average], genres[sport], player_perspective[third person])",You said earlier that you thought Tony Hawk's Pro Skater 3 was average. Are you generally unimpressed with third person sports games?,(0: da) (34: name) (63: rating) (109: playerperspective) (122: genres)
"verify_attribute(name[Tony Hawk's Pro Skater 3], rating[average], genres[sport], player_perspective[third person])","If I remember right, you felt like Tony Hawk's Pro Skater 3 was just okay. Do you typically feel that third person sports games aren't really your thing?",(0: da) (36: name) (70: rating) (105: playerperspective) (118: genres)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], has_multiplayer[yes])","I was wondering, do you enjoy multiplayer vehicular combat games, like for instance MotorStorm: Apocalypse?",(0: da) (30: hasmultiplayer) (43: genres) (86: name)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], has_multiplayer[yes])","Do you enjoy multiplayer sports games with vehicular combat, like MotorStorm: Apocalypse?",(0: da) (13: hasmultiplayer) (43: genres) (67: name)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], has_multiplayer[yes])","I'm wondering, do you enjoy multiplayer vehicular combat games like MotorStorm: Apocalypse?",(0: da) (29: hasmultiplayer) (42: genres) (70: name)
"inform(name[The Elder Scrolls Online], release_year[2014], rating[average], genres[MMORPG], player_perspective[first person, third person])","The Elder Scrolls Online is an MMORPG released in 2014 that is quite average compared to other games in this genre, despite allowing first person perspective, as well as third person.",(0: da) (0: name) (31: genres) (50: releaseyear) (69: rating) (134: playerperspective)
"inform(name[The Elder Scrolls Online], release_year[2014], rating[average], genres[MMORPG], player_perspective[first person, third person])","A decent game to try is the MMORPG The Elder Scrolls Online, released in 2014. You can play it in first person or third person perspective.",(0: da) (2: rating) (28: genres) (35: name) (74: releaseyear) (99: playerperspective)
"inform(name[The Elder Scrolls Online], release_year[2014], rating[average], genres[MMORPG], player_perspective[first person, third person])",The Elder Scrolls Online is an average MMORPG released on 2014. It is played in either first person or third person.,(0: da) (0: name) (31: rating) (39: genres) (58: releaseyear) (87: playerperspective)
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], rating[good], genres[turn-based strategy], player_perspective[bird view], has_multiplayer[yes])","Heroes of Might and Magic III: The Restoration of Erathia is a good turn-based strategy game played from a bird view perspective. It has a multiplayer mode, and is rated E (for Everyone).",(0: da) (0: name) (64: rating) (69: genres) (108: playerperspective) (140: hasmultiplayer) (167: esrb)
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], rating[good], genres[turn-based strategy], player_perspective[bird view], has_multiplayer[yes])",Heroes of Might and Magic III: The Restoration of Erathia is a turn-based strategy game rated E (for Everyone). The bird view strategy game offers multiplayer and has been reviewed as good.,(0: da) (0: name) (64: genres) (87: esrb) (119: playerperspective) (150: hasmultiplayer) (187: rating)
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], rating[good], genres[turn-based strategy], player_perspective[bird view], has_multiplayer[yes])","The turn-based strategy, Heroes of Might and Magic III: The Restoration of Erathia, has a bird view perspective and offers a multiplayer mode. It's a good game, and it was rated E (for Everyone).",(0: da) (4: genres) (26: name) (91: playerperspective) (126: hasmultiplayer) (152: rating) (177: esrb)
"inform(name[Driver], genres[driving/racing, simulation], player_perspective[third person])",Driver is a third person driving/racing simulation game.,(0: da) (0: name) (12: playerperspective) (25: genres)
"inform(name[Driver], genres[driving/racing, simulation], player_perspective[third person])","That reminds me of Driver, it's also a third person driving/racing sim.",(0: da) (19: name) (41: playerperspective) (54: genres)
"inform(name[Driver], genres[driving/racing, simulation], player_perspective[third person])",Driver is a driving/racing and simulation game that has been done in the third person perspective.,(0: da) (0: name) (12: genres) (73: playerperspective)
"confirm(name[NBA 2K19], genres[sport])",Do you mean the NBA 2K19 that is in the sport genre?,(0: da) (16: name) (40: genres)
"confirm(name[NBA 2K19], genres[sport])",So you're talking about the sports game NBA 2K19?,(0: da) (29: genres) (41: name)
"confirm(name[NBA 2K19], genres[sport])","Are you talking about the sports game, NBA 2K19?",(0: da) (26: genres) (40: name)
"inform(name[The Elder Scrolls Online], release_year[2014], rating[average], genres[MMORPG])",The Elder Scrolls Online is an MMORPG from 2014 with average ratings.,(0: da) (0: name) (31: genres) (43: releaseyear) (53: rating)
"inform(name[The Elder Scrolls Online], release_year[2014], rating[average], genres[MMORPG])",The Elder Scrolls Online is an average MMORPG from 2014.,(0: da) (0: name) (31: rating) (39: genres) (51: releaseyear)
"inform(name[The Elder Scrolls Online], release_year[2014], rating[average], genres[MMORPG])","The Elder Scrolls Online, released in 2014, is an average MMORPG.",(0: da) (0: name) (39: releaseyear) (52: rating) (60: genres)
"suggest(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], esrb[M (for Mature)])","I'm curious, would you be interested in playing any M rated games developed by Ubisoft Montreal, such as Tom Clancy's Splinter Cell: Chaos Theory?",(0: da) (53: esrb) (81: developer) (108: name)
"suggest(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], esrb[M (for Mature)])",Are you a fan of M rated games from Ubisoft Montreal like Tom Clancy's Splinter Cell: Chaos Theory?,(0: da) (17: esrb) (36: developer) (58: name)
"suggest(name[Tom Clancy's Splinter Cell: Chaos Theory], developer[Ubisoft Montreal], esrb[M (for Mature)])","I was wondering, do you enjoy the M rated games developed by Ubisoft Montreal, such as for example Tom Clancy's Splinter Cell: Chaos Theory?",(0: da) (35: esrb) (62: developer) (101: name)
"verify_attribute(name[Mass Effect 2], developer[BioWare], rating[excellent], genres[action-adventure, role-playing, shooter])",You mentioned absolutely loving BioWare's Mass Effect 2. Do you feel the same way about other action-adventure RPGs which are shooters?,(0: da) (25: rating) (32: developer) (43: name) (95: genres)
"verify_attribute(name[Mass Effect 2], developer[BioWare], rating[excellent], genres[action-adventure, role-playing, shooter])",You said Mass Effect 2 totally ruled. Are you a huge fan of BioWare's action-adventure RPG shooters?,(0: da) (9: name) (61: developer) (72: genres)
"verify_attribute(name[Mass Effect 2], developer[BioWare], rating[excellent], genres[action-adventure, role-playing, shooter])",You mentioned earlier that you loved Mass Effect 2. In general are you a fan of action-adventure games from BioWare with role-playing and shooting gameplay?,(0: da) (31: rating) (37: name) (80: genres) (108: developer)
"verify_attribute(name[The Forest of Doom], release_year[2014], rating[average])","So The Forest of Doom was just ok according to you. What about other games released in 2014, do you feel that way about most of them?",(0: da) (3: name) (31: rating) (88: releaseyear)
"verify_attribute(name[The Forest of Doom], release_year[2014], rating[average])","So I know you think The Forest of Doom was an okay game but could have been a lot better. I'm curious, do you perhaps feel like 2014 was a bad year for games?",(0: da) (20: name) (46: rating) (131: releaseyear)
"verify_attribute(name[The Forest of Doom], release_year[2014], rating[average])",The Forest of Doom was apparently nothing more than ordinary in your view. Has that been the case with other games from 2014 too?,(0: da) (0: name) (52: rating) (121: releaseyear)
"recommend(name[Outlast II], genres[adventure, indie], player_perspective[first person])",Are you familiar with Outlast II? It's this great first person indie adventure game.,(0: da) (22: name) (52: playerperspective) (65: genres)
"recommend(name[Outlast II], genres[adventure, indie], player_perspective[first person])",An indie adventure title with a first person perspective worth checking out is Outlast II. You seen that one?,(0: da) (3: genres) (32: playerperspective) (79: name)
"recommend(name[Outlast II], genres[adventure, indie], player_perspective[first person])","I know you like first person indie adventure games, have you tried Outlast II?",(0: da) (16: playerperspective) (29: genres) (68: name)
"inform(name[Little Big Adventure], release_year[1994], developer[Adeline Software International], rating[average], genres[action-adventure])",Little Big Adventure is an average action-adventure game developed by Adeline Software International that was released in 1994.,(0: da) (0: name) (27: rating) (35: genres) (70: developer) (122: releaseyear)
"inform(name[Little Big Adventure], release_year[1994], developer[Adeline Software International], rating[average], genres[action-adventure])",Little Big Adventure is an action-adventure game from 1994. It was made by Adeline Software international and received average ratings.,(0: da) (0: name) (27: genres) (54: releaseyear) (75: developer) (119: rating)
"inform(name[Little Big Adventure], release_year[1994], developer[Adeline Software International], rating[average], genres[action-adventure])",Little Big Adventure was average. Adeline Software International released this action-adventure game in 1994.,(0: da) (0: name) (25: rating) (35: developer) (80: genres) (105: releaseyear)
"inform(name[StarCraft], release_year[1998], genres[real-time strategy], has_multiplayer[yes], platforms[PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","StarCraft is a game for the PC that was released in 1998. This game is a multiplayer real-time strategy game that is available on Mac, but not on Steam or Linux.",(0: da) (0: name) (28: platforms) (52: releaseyear) (72: hasmultiplayer) (85: genres) (129: hasmacrelease) (145: availableonsteam) (154: haslinuxrelease)
"inform(name[StarCraft], release_year[1998], genres[real-time strategy], has_multiplayer[yes], platforms[PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","You might find StarCraft fun. It's a multiplayer RTS from 1998 for PC. It's not available on Steam and has Mac support, but no Linux support.",(0: da) (15: name) (38: hasmultiplayer) (50: genres) (60: releaseyear) (68: platforms) (95: availableonsteam) (109: hasmacrelease) (129: haslinuxrelease)
"inform(name[StarCraft], release_year[1998], genres[real-time strategy], has_multiplayer[yes], platforms[PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","StarCraft is a real-time strategy with multiplayer and is available on PC. It is not available on Steam and does not have a Linux release, but it is available for Mac. It was released in 1998.",(0: da) (0: name) (15: genres) (39: hasmultiplayer) (71: platforms) (98: availableonsteam) (124: haslinuxrelease) (163: hasmacrelease) (190: releaseyear)
"inform(name[Trivial Pursuit], release_year[2009], rating[poor], genres[trivia/board game])",Trivial Pursuit is a poorly-rated trivia/board game that was released in 2009.,(0: da) (0: name) (21: rating) (34: genres) (73: releaseyear)
"inform(name[Trivial Pursuit], release_year[2009], rating[poor], genres[trivia/board game])",Trivial Pursuit is a rather poor trivia/board game that was released in 2009.,(0: da) (0: name) (28: rating) (33: genres) (72: releaseyear)
"inform(name[Trivial Pursuit], release_year[2009], rating[poor], genres[trivia/board game])","Trivial Pursuit came out back in 2009 and it got mostly negative reviews. It's a board game where you answer trivia questions, and it's not very well-executed.",(0: da) (0: name) (0: genres) (33: releaseyear) (56: rating)
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], has_mac_release[yes])",Do you mean Heroes of Might and Magic III: The Restoration of Erathia with an E rated content that has been released on Mac?,(0: da) (12: name) (79: esrb) (121: hasmacrelease)
